conditionId,question,category,open_time,close_time,duration_days,trade_count,is_fed,is_political,has_uma_dispute
0x6964df311eba3add433112c9ab13ef529c8e2e07e7c115b9cc548de035f5b25f,Will a Republican win California Presidential Election?,,2024-03-28 00:00:00+00:00,2024-11-05 00:00:00+00:00,222,990768,FALSE,TRUE,TRUE
0x844e4eeb91670b5798607d7e120a9f0486407f0df66965cc31c514c2a35a1c1a,Will a candidate from another party win California Presidential Election?,,2024-03-28 00:00:00+00:00,2024-11-05 00:00:00+00:00,222,1065194,FALSE,TRUE,TRUE
0xac5fc54e2b52e942afd4e10a0239df729e4bd9c3c60361f7f7eaae9bbf81fc0a,Will a candidate from another party win Nevada Presidential Election?,,2024-03-07 00:00:00+00:00,2024-11-02 00:00:00+00:00,240,3406977,FALSE,TRUE,TRUE
0x1c4a876957f0c70fb3a579d714c1c125bf14bcc0a6d47073115a1855cd4dd9ab,Will a Democrat win New Hampshire in the 2024 US Presidential Election?,,2024-03-19 00:00:00+00:00,2024-11-05 00:00:00+00:00,231,1829308,FALSE,TRUE,TRUE
0x846be8b2fc96f1033d715aeedcbcb7459945abef9b87599a9e02c27ee1c66b7f,Will a Democrat win Colorado Presidential Election?,,2024-03-28 00:00:00+00:00,2024-11-05 00:00:00+00:00,222,1522857,FALSE,TRUE,TRUE
0x436b731d219f6da8caf7147d02d2a18e31ca770154225aef63c52f632e36e564,Will a Republican win Colorado Presidential Election?,,2024-03-28 00:00:00+00:00,2024-11-05 00:00:00+00:00,222,1022853,FALSE,TRUE,TRUE
0xa9ee4b2076a030846632f4dac3a16f7b503bfbd05ba6e551b0861612e585f1dc,Will a candidate from another party win Colorado Presidential Election?,,2024-03-28 00:00:00+00:00,2024-11-05 00:00:00+00:00,222,2261038,FALSE,TRUE,TRUE
0x9be6760eca88434624ecb3e9dbf3b1ff161c630559c52d80b2b23b8efbcd43bf,Will a Republican win New Hampshire in the 2024 US Presidential Election?,,2024-03-19 00:00:00+00:00,2024-11-05 00:00:00+00:00,231,2083783,FALSE,TRUE,TRUE
0xbfb1fea57597c113c0324915c2982ccff11269ddd3be336cd12b3b5c9781f8a7,Will a candidate from another party win New Hampshire Presidential Election?,,2024-03-19 00:00:00+00:00,2024-11-05 00:00:00+00:00,231,1970001,FALSE,TRUE,TRUE
0x08e0018adf70bd6231208885b49f2e13445a469b0a58831bbc9f6a7a1d136eff,Will a Democrat win Connecticut Presidential Election?,,2024-03-28 00:00:00+00:00,2024-11-05 00:00:00+00:00,222,189595,FALSE,TRUE,TRUE
0x0fb3071db6a07c5e7ec2e94db77ac94d580788aec6f223f618662cb7f3e95cde,Will a Republican win Connecticut Presidential Election?,,2024-03-28 00:00:00+00:00,2024-11-05 00:00:00+00:00,222,152403,FALSE,TRUE,TRUE
0x8abf82eb4647a787edf71dd017852e4bc8219c4e833e3013f861ed989fde38f7,Will a candidate from another party win Connecticut Presidential Election?,,2024-03-28 00:00:00+00:00,2024-11-05 00:00:00+00:00,222,203064,FALSE,TRUE,TRUE
0xfa5a7ff654fb16fbbba2891bb08888d7b876581fed0e09c108919a8ec9732f18,Will a Democrat win New Jersey Presidential Election?,,2024-03-28 00:00:00+00:00,2024-11-05 00:00:00+00:00,222,2778601,FALSE,TRUE,TRUE
0x5f71c0396254199eca645d987c489df1690e6a42eefc9c5b377b7bf68f7ee926,Will a Republican win New Jersey Presidential Election?,,2024-03-28 00:00:00+00:00,2024-11-05 00:00:00+00:00,222,2452014,FALSE,TRUE,TRUE
